activity_id,default_finance_type_code
46002-P-AO-C00-001,110
46002-P-AO-CZ0-001,421
46002-P-AO-FA0-003,421
46002-P-BF-D00-004,421
46002-P-BF-E00-001,110
46002-P-BF-E00-006,421
46002-P-BF-E00-008,421
46002-P-BF-EA0-003,421
46002-P-BF-EA0-022,110
46002-P-BF-EAB-001,421
46002-P-BF-EAZ-001,110
46002-P-BF-EAZ-002,110
46002-P-BF-FA0-007,421
46002-P-BF-FA0-010,110
46002-P-BF-FA0-013,421
46002-P-BF-FF0-006,421
46002-P-BI-AAD-001,421
46002-P-BI-C00-001,110
46002-P-BI-EA0-004,110
46002-P-BI-EAZ-002,110
46002-P-BI-F00-004,110
46002-P-BI-FA0-100,110
46002-P-BJ-AAD-002,421
46002-P-BJ-AAD-003,421
46002-P-BJ-AAD-004,421
46002-P-BJ-E00-002,421
46002-P-BJ-EBC-002,421
46002-P-BJ-F00-005,110
46002-P-BJ-FA0-004,421
46002-P-BJ-FA0-007,421
46002-P-BW-FA0-001,421
46002-P-CD-C00-035,110
46002-P-CD-C00-037,110
46002-P-CD-E00-002,421
46002-P-CD-EA0-004,110
46002-P-CD-FA0-011,421
46002-P-CF-F00-003,110
46002-P-CG-C00-035,110
46002-P-CG-E00-001,110
46002-P-CG-E00-002,110
46002-P-CG-EAZ-002,110
46002-P-CG-FA0-001,421
46002-P-CI-D00-004,421
46002-P-CI-D00-010,421
46002-P-CI-D00-011,421
46002-P-CI-E00-002,110
46002-P-CI-EA0-002,421
46002-P-CI-EB0-001,110
46002-P-CI-EB0-007,110
46002-P-CI-EBA-005,110
46002-P-CI-F00-007,421
46002-P-CI-F00-011,421
46002-P-CI-FA0-014,421
46002-P-CI-FA0-017,421
46002-P-CI-FA0-024,421
46002-P-CM-AAD-001,421
46002-P-CM-D00-004,421
46002-P-CM-D00-005,421
46002-P-CM-E00-001,110
46002-P-CM-E00-002,421
46002-P-CM-E00-006,421
46002-P-CM-EAZ-002,110
46002-P-CM-EB0-003,421
46002-P-CM-F00-006,421
46002-P-CV-FA0-001,421
46002-P-CV-FA0-002,421
46002-P-CV-FE0-001,421
46002-P-DJ-E00-001,110
46002-P-DJ-E00-003,110
46002-P-DJ-EAZ-001,110
46002-P-DJ-EAZ-002,110
46002-P-DJ-EB0-002,110
46002-P-DZ-D00-002,421
46002-P-DZ-EAZ-002,421
46002-P-DZ-EAZ-003,110
46002-P-DZ-FAD-001,421
46002-P-EG-D00-009,421
46002-P-EG-FE0-004,110
46002-P-EG-FF0-013,421
46002-P-ET-D00-007,421
46002-P-ET-E00-005,421
46002-P-ET-E00-006,110
46002-P-ET-E00-007,421
46002-P-ET-E00-014,421
46002-P-ET-EA0-008,110
46002-P-ET-EAZ-002,110
46002-P-ET-EAZ-005,110
46002-P-ET-FA0-011,421
46002-P-ET-FA0-013,421
46002-P-GA-AAD-005,110
46002-P-GA-C00-001,110
46002-P-GA-F00-008,421
46002-P-GH-AAD-001,421
46002-P-GH-D00-001,421
46002-P-GH-D00-008,421
46002-P-GH-E00-001,110
46002-P-GH-E00-003,110
46002-P-GH-E00-004,421
46002-P-GM-C00-002,421
46002-P-GM-E00-006,110
46002-P-GM-FA0-002,110
46002-P-GN-D00-001,421
46002-P-GN-E00-001,110
46002-P-GN-E00-004,110
46002-P-GN-EAZ-001,110
46002-P-GQ-C00-035,110
46002-P-GW-D00-004,421
46002-P-GW-F00-001,421
46002-P-GW-FA0-004,421
46002-P-GW-FA0-005,421
46002-P-KE-AAD-001,421
46002-P-KE-AAD-004,421
46002-P-KE-AAD-005,421
46002-P-KE-C00-001,421
46002-P-KE-E00-007,421
46002-P-KE-EA0-003,421
46002-P-KE-EAZ-003,110
46002-P-KE-EB0-010,421
46002-P-KE-FZ0-013,421
46002-P-KM-EA0-001,110
46002-P-KM-F00-002,110
46002-P-KM-FA0-001,110
46002-P-LR-E00-001,110
46002-P-LR-E00-003,110
46002-P-LR-E00-004,110
46002-P-LS-E00-002,421
46002-P-LS-FA0-003,421
46002-P-MA-E00-004,421
46002-P-MA-E00-009,421
46002-P-MA-EAA-004,421
46002-P-MA-EAZ-001,421
46002-P-MA-EAZ-002,421
46002-P-MA-FA0-008,421
46002-P-MA-FAC-011,421
46002-P-MA-FAC-012,421
46002-P-MA-FAC-013,421
46002-P-MA-FAC-014,421
46002-P-MG-BAA-002,421
46002-P-MG-C00-004,110
46002-P-MG-CZ0-002,110
46002-P-MG-DZ0-001,421
46002-P-MG-E00-002,421
46002-P-MG-E00-005,421
46002-P-MG-E00-010,110
46002-P-MG-F00-006,421
46002-P-MG-F00-007,421
46002-P-MG-FA0-018,912
46002-P-MG-FA0-019,421
46002-P-ML-E00-006,421
46002-P-ML-EA0-003,110
46002-P-ML-EA0-004,421
46002-P-ML-EAZ-002,110
46002-P-ML-EB0-003,110
46002-P-ML-FF0-001,421
46002-P-MR-BA0-003,421
46002-P-MR-BAA-002,421
46002-P-MR-EAZ-002,421
46002-P-MU-EB0-004,421
46002-P-MU-FA0-002,421
46002-P-MW-AAD-001,421
46002-P-MW-E00-001,421
46002-P-MW-E00-003,421
46002-P-MW-E00-004,421
46002-P-MW-E00-006,421
46002-P-MW-E00-007,421
46002-P-MW-EA0-006,421
46002-P-MW-EAZ-001,110
46002-P-MW-EAZ-002,110
46002-P-MZ-AAD-001,421
46002-P-MZ-CB0-001,110
46002-P-MZ-D00-002,421
46002-P-MZ-D00-003,421
46002-P-MZ-D00-007,421
46002-P-MZ-E00-001,421
46002-P-MZ-E00-002,421
46002-P-MZ-E00-003,421
46002-P-MZ-E00-005,110
46002-P-MZ-E00-006,421
46002-P-MZ-E00-008,421
46002-P-MZ-EAZ-001,110
46002-P-MZ-F00-013,110
46002-P-NA-DZ0-001,421
46002-P-NE-AAD-001,421
46002-P-NE-E00-003,421
46002-P-NE-EA0-003,110
46002-P-NE-EA0-007,110
46002-P-NE-EAZ-004,110
46002-P-NE-F00-004,421
46002-P-NG-AAD-001,421
46002-P-NG-C00-001,110
46002-P-NG-D00-011,110
46002-P-NG-E00-002,421
46002-P-NG-E00-004,421
46002-P-NG-E00-005,421
46002-P-NG-EA0-001,421
46002-P-NG-EA0-004,421
46002-P-NG-EA0-006,421
46002-P-NG-EA0-007,421
46002-P-NG-EAZ-002,110
46002-P-NG-F00-020,421
46002-P-NG-FA0-011,421
46002-P-RW-AAD-001,421
46002-P-RW-C00-001,110
46002-P-RW-E00-008,421
46002-P-RW-FA0-009,421
46002-P-RW-FA0-015,421
46002-P-SD-EA0-002,110
46002-P-SD-FF0-001,110
46002-P-SL-D00-001,110
46002-P-SL-D00-004,110
46002-P-SL-E00-001,110
46002-P-SL-E00-003,421
46002-P-SL-E00-006,110
46002-P-SL-E00-007,110
46002-P-SL-E00-013,110
46002-P-SL-EA0-001,421
46002-P-SN-AAD-001,421
46002-P-SN-C00-001,110
46002-P-SN-D00-002,421
46002-P-SN-D00-003,421
46002-P-SN-D00-005,421
46002-P-SN-E00-002,421
46002-P-SN-EA0-007,421
46002-P-SN-F00-005,421
46002-P-SN-F00-009,421
46002-P-SN-FA0-005,421
46002-P-SO-E00-001,110
46002-P-SO-E00-002,110
46002-P-SO-EAZ-001,110
46002-P-SS-D00-001,110
46002-P-SS-E00-002,110
46002-P-SS-FA0-006,421
46002-P-ST-FA0-001,421
46002-P-SZ-E00-001,110
46002-P-SZ-E00-005,421
46002-P-TD-C00-001,421
46002-P-TD-C00-002,421
46002-P-TD-E00-001,110
46002-P-TD-E00-003,421
46002-P-TD-EA0-001,110
46002-P-TG-D00-010,421
46002-P-TG-FA0-012,421
46002-P-TN-D00-002,110
46002-P-TN-E00-002,110
46002-P-TN-E00-003,110
46002-P-TN-E00-004,110
46002-P-TN-E00-005,421
46002-P-TN-EAZ-002,110
46002-P-TN-EB0-004,110
46002-P-TN-EB0-005,421
46002-P-TN-FA0-003,421
46002-P-TN-FA0-008,421
46002-P-TN-FAC-001,421
46002-P-TN-FAC-002,421
46002-P-TZ-AAD-001,421
46002-P-TZ-D00-009,421
46002-P-TZ-E00-003,421
46002-P-TZ-E00-004,421
46002-P-TZ-E00-007,421
46002-P-TZ-E00-008,421
46002-P-TZ-EA0-003,110
46002-P-TZ-EA0-008,110
46002-P-TZ-EA0-009,421
46002-P-TZ-EA0-010,421
46002-P-TZ-EAZ-003,110
46002-P-TZ-FA0-013,421
46002-P-UG-AAD-001,421
46002-P-UG-D00-003,421
46002-P-UG-FA0-001,421
46002-P-UG-FA0-002,421
46002-P-UG-FA0-004,421
46002-P-UG-FA0-006,421
46002-P-UG-FZ0-001,110
46002-P-Z1-C00-001,110
46002-P-Z1-C00-003,110
46002-P-Z1-C00-004,421
46002-P-Z1-C00-006,110
46002-P-Z1-C00-008,110
46002-P-Z1-C00-009,110
46002-P-Z1-C00-010,110
46002-P-Z1-C00-014,110
46002-P-Z1-C00-015,110
46002-P-Z1-C00-016,110
46002-P-Z1-C00-026,110
46002-P-Z1-C00-027,110
46002-P-Z1-C00-028,110
46002-P-Z1-C00-029,110
46002-P-Z1-C00-031,110
46002-P-Z1-C00-032,110
46002-P-Z1-C00-034,110
46002-P-Z1-C00-037,110
46002-P-Z1-C00-038,110
46002-P-Z1-C00-039,110
46002-P-Z1-C00-041,110
46002-P-Z1-C00-042,110
46002-P-Z1-C00-043,110
46002-P-Z1-C00-044,110
46002-P-Z1-C00-047,110
46002-P-Z1-C00-052,110
46002-P-Z1-C00-054,421
46002-P-Z1-C00-056,110
46002-P-Z1-C00-059,110
46002-P-Z1-C00-063,110
46002-P-Z1-C00-064,110
46002-P-Z1-C00-065,421
46002-P-Z1-C00-067,421
46002-P-Z1-C00-068,110
46002-P-Z1-C00-069,421
46002-P-Z1-C00-070,110
46002-P-Z1-C00-071,110
46002-P-Z1-C00-073,110
46002-P-Z1-C00-079,110
46002-P-Z1-C00-081,421
46002-P-Z1-C00-082,110
46002-P-Z1-C00-083,110
46002-P-Z1-CZ0-002,110
46002-P-Z1-CZ0-003,110
46002-P-Z1-CZ0-013,421
46002-P-Z1-CZ0-014,110
