activity_id,transaction_type_code,currency,total_amount,first_date,last_date
NL-KVK-41155305-WL,4,EUR,13556252,2019-01-01,2023-12-31
CA-3-D004327001,2,CAD,223500000.00,2019-03-19,2019-03-19
CA-3-D004327001,3,CAD,223500000.00,2019-03-31,2021-02-18
CA-3-P006570002,2,CAD,10000000.00,2021-03-30,2021-03-30
CA-3-P006570002,3,CAD,10000000.00,2021-03-31,2021-03-31
CA-3-M013850001,2,CAD,75000000.01,2013-03-26,2013-03-26
CA-3-M013850001,3,CAD,75000000.00,2013-03-28,2013-03-28
CA-3-D003984001,2,CAD,200000000.00,2017-03-27,2017-03-27
CA-3-D003984001,3,CAD,200000000.00,2017-03-31,2020-01-20
CA-3-P006570001,2,CAD,122900000.00,2021-03-30,2021-03-30
CA-3-P006570001,3,CAD,122900000.00,2021-03-31,2021-03-31
CA-3-M013705001,2,CAD,250000000.01,2012-03-30,2012-03-30
CA-3-M013705001,3,CAD,250000000.00,2012-03-31,2012-07-30
CA-3-P012183001,2,CAD,500000000.00,2024-03-08,2024-03-08
CA-3-P012183001,3,CAD,410000000.00,2024-03-11,2025-02-13
XM-DAC-46004-44219-014-GRNT0520,2,USD,20000000.00,2023-09-30,2023-09-30
XM-DAC-46004-44219-014-GRNT0520,3,USD,2993218.72,2017-01-31,2025-08-31
XM-DAC-46004-44219-014-GRNT0520,1,USD,6000000.00,2024-07-31,2025-02-06
XM-DAC-46004-44219-014-GRNT0398,2,USD,11200000.00,2023-09-30,2023-09-30
XM-DAC-46004-44219-014-LN3721,2,USD,20000000.00,2023-09-30,2023-09-30
XM-DAC-46004-44219-014-LN3721,3,USD,478309.56,2018-11-30,2025-08-31
XM-DAC-46004-44219-014-LN3721,5,USD,90613.54,2025-04-30,2025-08-31
CA-3-P011506001,2,CAD,10000000.00,2023-03-08,2023-03-08
CA-3-P011506001,3,CAD,5043526.00,2023-03-22,2024-11-27
XM-DAC-46004-49216-002-GRNT0486,2,USD,1800000.00,2023-09-30,2023-09-30
XM-DAC-46004-47279-002-LN8367,2,USD,37200000.00,2023-09-30,2023-09-30
XM-DAC-46004-47279-002-LN8367,5,USD,465000.00,2023-01-31,2025-08-31
CA-3-P010741001,2,CAD,30000000.00,2022-03-29,2022-03-29
CA-3-P010741001,3,CAD,30000000.00,2022-03-30,2024-01-15
XM-DAC-46004-53049-001-LN4136,2,USD,191181877.30,2023-09-30,2023-09-30
XM-DAC-46004-53049-001-LN4136,3,USD,47088726.92,2021-12-31,2025-08-31
XM-DAC-46004-53049-001-LN4136,5,USD,3676272.27,2023-04-30,2025-08-31
CA-3-P015262001,2,CAD,5000000.00,2025-03-06,2025-03-06
CA-3-P015262001,3,CAD,5000000.00,2025-04-17,2025-06-05
CA-3-P007844001,2,CAD,53900000.00,2021-03-30,2021-03-30
CA-3-P007844001,3,CAD,53079899.13,2021-03-31,2021-12-20
CA-3-D004328001,2,CAD,250000000.00,2018-03-29,2018-03-29
CA-3-D004328001,3,CAD,250000000.00,2018-03-31,2021-03-02
XM-DAC-46004-49021-002-LN3827,2,USD,133929000.00,2023-09-30,2023-09-30
CA-3-P008176002,2,CAD,110000000.00,2022-03-31,2022-03-31
CA-3-P008176002,3,CAD,110000000.00,2022-03-31,2022-03-31
CA-3-P008176003,2,CAD,22000000.00,2022-03-31,2022-03-31
CA-3-P008176003,3,CAD,22000000.00,2022-03-31,2022-03-31
CA-3-P013814001,2,CAD,10000000.00,2024-09-23,2024-09-23
CA-3-P013814001,3,CAD,3695224.84,2025-01-06,2025-08-01
CA-3-S064780001,2,CAD,897600.00,2010-01-13,2010-01-13
CA-3-S064780001,3,CAD,851945.00,2010-02-03,2015-11-17
CA-3-A035205001,2,CAD,8861691.24,2012-03-09,2012-03-09
CA-3-A035205001,3,CAD,8739999.58,2012-03-30,2018-03-15
CA-3-P011503001,2,CAD,10000000.00,2023-03-28,2023-03-28
CA-3-P011503001,3,CAD,5400457.00,2023-03-30,2025-08-26
XM-DAC-46004-41504-023-LN2714,2,USD,16400000.00,2023-09-30,2023-09-30
XM-DAC-46004-41504-023-LN2714,3,USD,14419348.64,2013-12-31,2021-05-31
XM-DAC-46004-41504-023-LN2714,6,USD,4147843.94,2018-12-31,2025-08-31
XM-DAC-46004-41504-023-LN2714,5,USD,1367093.17,2014-03-31,2025-08-31
XM-DAC-46004-41504-023-LN2713,2,USD,40900000.00,2023-09-30,2023-09-30
XM-DAC-46004-41504-023-LN2713,3,USD,37898247.96,2013-12-31,2021-05-31
XM-DAC-46004-41504-023-LN2713,6,USD,9304149.15,2015-12-31,2025-08-31
XM-DAC-46004-41504-023-LN2713,5,USD,7846598.70,2014-03-31,2025-08-31
DE-1-201923499,11,EUR,40815040.00,2019-12-20,2020-01-15
DE-1-201923499,2,EUR,53615040.00,2020-01-01,2020-01-01
DE-1-201923499,4,EUR,11206845.17,2025-08-31,2025-08-31
CA-3-P011636001,2,CAD,20000000.00,2023-03-27,2023-03-27
CA-3-P011636001,3,CAD,10790714.00,2023-03-29,2025-09-04
XM-DAC-46004-53051-001-LN4204,2,USD,200000000.00,2023-09-30,2023-09-30
XM-DAC-46004-53051-001-LN4204,3,USD,68651403.07,2022-11-30,2025-08-31
XM-DAC-46004-53051-001-LN4204,5,USD,3102860.98,2023-09-30,2025-08-31
XM-DAC-46004-56217-001-LN4516,2,USD,150000000.00,2023-09-30,2023-09-30
XM-DAC-46004-51418-001-TA9682,2,USD,750000.00,2023-09-30,2023-09-30
NL-KVK-40530467-GLA-UG,1,EUR,634977,2016-01-01,2020-01-01
NL-KVK-40530467-GLA-UG,2,EUR,542547,2016-01-01,2019-12-01
NL-KVK-40530467-GLA-UG,3,EUR,542547,2016-01-01,2019-08-01
NL-KVK-40530467-GLA-UG,4,EUR,92430,2016-01-01,2020-01-01
CA-3-P011547001,2,CAD,7000000.00,2023-03-29,2023-03-29
CA-3-P011547001,3,CAD,4938091.95,2023-03-31,2025-07-09
XM-DAC-46004-51308-008-LN4402,2,USD,200000000.00,2023-09-30,2023-09-30
XM-DAC-46004-51308-008-LN4402,3,USD,49267796.13,2023-12-31,2025-08-31
XM-DAC-46004-51308-008-LN4402,5,USD,1381656.49,2024-04-30,2025-08-31
XM-DAC-46004-52034-001-GRNT0960,2,USD,52500000.00,2023-09-30,2023-09-30
XM-DAC-46004-52034-001-GRNT0960,3,USD,14043.18,2024-09-30,2025-08-31
XM-DAC-46004-53053-001-LN4070,2,USD,197900326.40,2023-09-30,2023-09-30
XM-DAC-46004-53053-001-LN4070,3,USD,46602752.77,2021-10-31,2025-08-31
XM-DAC-46004-53053-001-LN4070,5,USD,7144319.38,2022-10-31,2025-08-31
XM-DAC-46004-52111-001-GRNT0947,2,USD,99700000.00,2023-09-30,2023-09-30
GB-COH-05543952-EMUK10791,1,AMD,1754014.77,2022-08-31,2023-05-31
GB-COH-05543952-EMUK10791,3,AMD,70517,2022-08-31,2023-03-31
GB-COH-05543952-EMUK10791,4,AMD,91404,2022-08-31,2023-05-31
GB-COH-05543952-EMUK10791,4,GBP,9285957.68,2018-09-30,2023-05-31
GB-COH-05543952-EMUK10791,4,ANG,14326,2022-08-31,2023-03-31
GB-COH-05543952-EMUK10791,1,GBP,8429347.45,2018-12-31,2022-05-31
GB-COH-05543952-EMUK10791,3,GBP,1517362.98,2018-12-31,2022-05-31
XM-DAC-46004-55080-001-LN4401,2,USD,250000000.00,2023-09-30,2023-09-30
XM-DAC-46004-55080-001-LN4401,3,USD,250000000.00,2023-12-31,2024-03-31
XM-DAC-46004-55080-001-LN4401,5,USD,15662470.17,2024-10-31,2025-08-31
XM-DAC-46004-55048-001-LN4369,2,USD,231354253.50,2023-09-30,2023-09-30
XM-DAC-46004-55048-001-LN4369,3,USD,6835799.54,2023-12-31,2025-08-31
XM-DAC-46004-55048-001-LN4369,5,USD,395817.12,2024-10-31,2025-08-31
DE-1-201620715,2,EUR,4158182.67,2018-11-01,2018-11-01
DE-1-201620715,4,EUR,3889471.21,2022-03-02,2022-03-02
CA-3-P012801001,2,CAD,350000000.00,2024-03-12,2024-03-12
