feature,sd_train,pred0,delta_pred_1sd,importance,missingness_pct,delta_r2,delta_pairwise
targets,12.880078405427954,0.01137383251020922,0.08776685293525495,0.08776685293525495,7.000000000000001,0.009961903603830091,0.023064922019603307
umap3_z,1.8615316915485252,0.01137383251020922,-0.06660761662448833,0.06660761662448833,8.5,0.010393302237796442,0.013893691338683567
context,16.250675097235067,0.01137383251020922,0.06404194289129714,0.06404194289129714,6.5,0.006006869460035036,0.00886916470471577
sector_cluster_Capacity_Building_and_Technical_Assistance,0.08290812517936305,0.01137383251020922,-0.04480054709652738,0.04480054709652738,47.0,0.003869447486806621,0.003223610237558683
region_EAP,0.4231844869688985,0.01137383251020922,0.04043911515427191,0.04043911515427191,0.0,0.013498438412279823,0.033399461150228404
implementer_performance,11.634899824378314,0.01137383251020922,0.03393699578564459,0.03393699578564459,5.5,0.005022977059516265,0.008857493581767129
expenditure_per_year_log,1.3670480712268618,0.01137383251020922,0.028881507096135187,0.028881507096135187,8.5,0.0006197856794767365,-0.00801923795020465
umap3_y,1.4845074547847417,0.01137383251020922,0.023601177373516743,0.028526662832616453,8.5,0.0036280120516880565,0.006657534093209461
planned_duration,3.017909869562011,0.01137383251020922,-0.026831398116917836,0.026831398116917836,0.5,-0.0003456190417974181,0.0029064694835710947
expenditure_x_complexity,11825111863.690987,0.01137383251020922,0.023095925587644547,0.023095925587644547,11.0,0.003698044162114611,0.0036757449959290422
rep_org_2,0.4804938793531736,0.01137383251020922,0.022537123127652922,0.022537123127652922,0.0,0.030138877454956248,-0.00571230861049099
activity_scope,1.5964142818061196,0.01137383251020922,-0.01913928930453887,0.01913928930453887,0.0,0.0033953853895247743,-0.0091200490705875
region_MENA,0.26257707900701227,0.01137383251020922,-0.017375365830163456,0.017375365830163456,0.0,0.0015161338231755028,0.007643083608667056
finance,9.05572054566031,0.01137383251020922,0.014879827564967196,0.014879827564967196,9.0,0.008732129471862526,0.0159510400003674
umap3_x,1.8010116535726535,0.01137383251020922,-0.012559934002189384,0.012559934002189384,8.5,0.006812593067419659,0.011670365077809941
cpia_score,0.28454314563422045,0.01137383251020922,0.012400518336255398,0.012400518336255398,31.5,0.0024908177946427745,0.0005277888916978002
sector_cluster_Contingencies,0.08033488266727305,0.01137383251020922,0.012367640896671766,0.012367640896671766,47.0,0.004432411491215982,0.0030766414251468532
region_ECA,0.3347501562412461,0.01137383251020922,0.009784462185750731,0.009784462185750731,0.0,0.0031097531857449123,0.0009199673499400429
finance_is_loan,0.4894272121843504,0.01137383251020922,-0.008867767429857213,0.008867767429857216,0.0,0.002562517710637424,0.005826239568586633
log_planned_expenditure,1.37155289826123,0.01137383251020922,-0.00016957039028109213,0.008864442696023551,5.5,0.0024714073147751314,-0.0027817120329878264
gdp_percap,0.9625529747256163,0.01137383251020922,0.00862737148582446,0.00862737148582446,7.5,0.0047180045588861574,0.0005000665730181542
sector_cluster_Project_Management,0.0592556420913482,0.01137383251020922,0.0073999008298542565,0.0073999008298542565,47.0,0.0053240760825497,0.00790424481101093
