feature,sd_train,pred0,delta_pred_1sd,importance,variant,outcome_col
sector_cluster_Urban_flood_protection,0.13613289961953273,-0.07119328227576006,0.13622537508616098,0.13622537508616098,zagg,outcomes_z_activity_mean
planned_duration,2.709495793504373,-0.07119328227576006,0.052993198909094506,0.052993198909094506,zagg,outcomes_z_activity_mean
sector_cluster_Green_growth_initiatives,0.061903466555714375,-0.07119328227576006,0.051681537664788564,0.051681537664788564,zagg,outcomes_z_activity_mean
umap3_z,1.192793085478108,-0.07119328227576006,-0.043978962246008176,0.043978962246008176,zagg,outcomes_z_activity_mean
sector_cluster_Capacity_Building_and_Technical_Assistance,0.04145018961533645,-0.07119328227576006,0.03178744675669021,0.03178744675669021,zagg,outcomes_z_activity_mean
gdp_x_duration,22.9262450965371,-0.07119328227576006,0.031355266744249856,0.031355266744249856,zagg,outcomes_z_activity_mean
cpia_score,0.2674110467973887,-0.07119328227576006,0.030840483735396423,0.030840483735396423,zagg,outcomes_z_activity_mean
umap3_y,1.1256474612875131,-0.07119328227576006,-0.02337260031818903,0.02337260031818903,zagg,outcomes_z_activity_mean
governance_x_complexity,29.706587907568924,-0.07119328227576006,0.019992512921151395,0.019992512921151395,zagg,outcomes_z_activity_mean
context,15.092836279000148,-0.07119328227576006,-0.01729634143899963,0.01729634143899963,zagg,outcomes_z_activity_mean
gdp_percap,1.001579600140987,-0.07119328227576006,-0.01707729403209713,0.01707729403209713,zagg,outcomes_z_activity_mean
targets,13.102628196948636,-0.07119328227576006,0.015856767467503627,0.015856767467503627,zagg,outcomes_z_activity_mean
sector_cluster_Project_Management,0.03940447616294067,-0.07119328227576006,0.01509118045146315,0.01509118045146315,zagg,outcomes_z_activity_mean
planned_expenditure,1.1607963860806654,-0.07119328227576006,-0.014970510826241172,0.014970510826241172,zagg,outcomes_z_activity_mean
sector_cluster_reduced_CO2_emissions,0.4037664407510068,-0.07119328227576006,0.014239859127770933,0.014239859127770933,zagg,outcomes_z_activity_mean
sector_cluster_Contingencies,0.05697618224814038,-0.07119328227576006,0.013735858046525582,0.013735858046525582,zagg,outcomes_z_activity_mean
governance_composite,0.4312872049791277,-0.07119328227576006,-0.013428786059745366,0.013428786059745366,zagg,outcomes_z_activity_mean
risks,19.68733533265651,-0.07119328227576006,-0.012477347926143363,0.012477347926143363,zagg,outcomes_z_activity_mean
expenditure_per_year,1.0360805027011946,-0.07119328227576006,-0.01082344315198635,0.01082344315198635,zagg,outcomes_z_activity_mean
complexity,18.595725397844895,-0.07119328227576006,-0.010247859864013324,0.010247859864013324,zagg,outcomes_z_activity_mean
log_planned_expenditure,0.06094179590226541,-0.07119328227576006,-0.008988486211789635,0.008988486211789635,zagg,outcomes_z_activity_mean
sector_cluster_more_people_with_drinking_water_services,0.32455393654470205,-0.07119328227576006,-0.007218489355275318,0.007218489355275318,zagg,outcomes_z_activity_mean
sector_cluster_Institutional_capacity_building,0.06463380371219309,-0.07119328227576006,0.00615473500328715,0.00615473500328715,zagg,outcomes_z_activity_mean
implementer_performance,8.481447082305134,-0.07119328227576006,-0.006128477592079802,0.006128477592079802,zagg,outcomes_z_activity_mean
sector_cluster_increased_managed_forest_land,0.1516905413235997,-0.07119328227576006,-0.0037731425863429535,0.0037731425863429535,zagg,outcomes_z_activity_mean
sector_cluster_Improved_transport_infrastructure,0.2036983345202798,-0.07119328227576006,0.0036355682129774122,0.0036355682129774122,zagg,outcomes_z_activity_mean
governance_missing_count,1.2244636030722011,-0.07119328227576006,0.0033430391936442316,0.0033430391936442316,zagg,outcomes_z_activity_mean
expenditure_x_complexity,335.2198310601257,-0.07119328227576006,0.0032087670741134597,0.0032087670741134597,zagg,outcomes_z_activity_mean
finance,8.818807444124639,-0.07119328227576006,0.003156511455761471,0.003156511455761471,zagg,outcomes_z_activity_mean
sector_cluster_Land_acquisition_and_resettlement,0.054531093608979876,-0.07119328227576006,0.003135761381121184,0.003135761381121184,zagg,outcomes_z_activity_mean
targets__X__grp_economic_rate_of_return__percent,34.87829516154044,-0.07119328227576006,-0.002438623620325271,0.002438623620325271,zagg,outcomes_z_activity_mean
complexity__X__grp_economic_rate_of_return__percent,32.6664136693106,-0.07119328227576006,-0.0022819034467918067,0.0022819034467918067,zagg,outcomes_z_activity_mean
governance_composite__X__grp_economic_rate_of_return__percent,0.3612401675886423,-0.07119328227576006,-0.0016568581336281543,0.0016568581336281543,zagg,outcomes_z_activity_mean
governance_composite__X__grp_water_connections__connections,0.252884143894758,-0.07119328227576006,0.0015637866223136912,0.0015637866223136912,zagg,outcomes_z_activity_mean
sector_cluster_Road_safety_improvements,0.18083485640084915,-0.07119328227576006,0.001207348143695941,0.001207348143695941,zagg,outcomes_z_activity_mean
planned_expenditure__X__grp_economic_rate_of_return__percent,9.137844322175285,-0.07119328227576006,-0.001124363054972849,0.001124363054972849,zagg,outcomes_z_activity_mean
sector_cluster_reduced_PM2.5_air_pollution,0.09680656003418597,-0.07119328227576006,0.000973091228533049,0.000973091228533049,zagg,outcomes_z_activity_mean
targets__X__grp_water_connections__connections,22.182260713782803,-0.07119328227576006,-0.0009259614705462577,0.0009259614705462577,zagg,outcomes_z_activity_mean
governance_composite__X__grp_financial_rate_of_return__percent,0.2731143969930646,-0.07119328227576006,0.0009095902004522885,0.0009095902004522885,zagg,outcomes_z_activity_mean
sector_cluster_increased_food_production,0.201583290795191,-0.07119328227576006,-0.0006627390314492762,0.0006627390314492762,zagg,outcomes_z_activity_mean
complexity__X__grp_co2_emission_reductions__tonnes_co2e,15.117470806025379,-0.07119328227576006,0.0005303198820610991,0.0005303198820610991,zagg,outcomes_z_activity_mean
complexity__X__grp_generation_capacity__mw,15.792352247184777,-0.07119328227576006,0.0003651004037236588,0.0003651004037236588,zagg,outcomes_z_activity_mean
implementer_performance__X__grp_economic_rate_of_return__percent,42.655991775277315,-0.07119328227576006,-0.00033270208137713836,0.00033270208137713836,zagg,outcomes_z_activity_mean
finance__X__grp_economic_rate_of_return__percent,41.39042169398565,-0.07119328227576006,0.0002527542686495757,0.0002527542686495757,zagg,outcomes_z_activity_mean
activity_scope,1.2515332246488406,-0.07119328227576006,0.00024325478374340875,0.00024325478374340875,zagg,outcomes_z_activity_mean
complexity__X__grp_water_connections__connections,19.50594746723868,-0.07119328227576006,-0.00023311552975184557,0.00023311552975184557,zagg,outcomes_z_activity_mean
complexity__X__grp_financial_rate_of_return__percent,26.78200989979929,-0.07119328227576006,-0.00021364767755648745,0.00021364767755648745,zagg,outcomes_z_activity_mean
targets__X__grp_financial_rate_of_return__percent,28.627578679159463,-0.07119328227576006,-0.00013256620235013034,0.00013256620235013034,zagg,outcomes_z_activity_mean
grp_co2_emission_reductions__tonnes_co2e_per_year,0.1678316819573343,-0.07119328227576006,-1.3877787807814457e-17,1.3877787807814457e-17,zagg,outcomes_z_activity_mean
targets__X__grp_generation_capacity__mw,16.04806102060139,-0.07119328227576006,1.3877787807814457e-17,1.3877787807814457e-17,zagg,outcomes_z_activity_mean
targets__X__grp_benefit_cost_ratios__ratio,17.285368922152113,-0.07119328227576006,-1.3877787807814457e-17,1.3877787807814457e-17,zagg,outcomes_z_activity_mean
rep_org_0,0.03904344047215152,-0.07119328227576006,-6.938893903907228e-18,6.938893903907228e-18,zagg,outcomes_z_activity_mean
implementer_performance__X__grp_generation_capacity__mw,20.867201416442615,-0.07119328227576006,6.938893903907228e-18,6.938893903907228e-18,zagg,outcomes_z_activity_mean
implementer_performance__X__grp_benefit_cost_ratios__ratio,21.438667373696703,-0.07119328227576006,6.938893903907228e-18,6.938893903907228e-18,zagg,outcomes_z_activity_mean
finance_is_loan,0.4232111861255719,-0.07119328227576006,6.938893903907228e-18,6.938893903907228e-18,zagg,outcomes_z_activity_mean
complexity__X__grp_benefit_cost_ratios__ratio,15.780475313998908,-0.07119328227576006,6.938893903907228e-18,6.938893903907228e-18,zagg,outcomes_z_activity_mean
